Iteracao,Tempo(ns),Nome,Paradigma,Volume
1,1081400,MergeSort,Serial,5000
2,1031600,MergeSort,Serial,5000
3,837400,MergeSort,Serial,5000
4,923800,MergeSort,Serial,5000
5,1455400,MergeSort,Serial,5000
6,1070000,MergeSort,Serial,5000
7,992300,MergeSort,Serial,5000
8,2390500,MergeSort,Serial,5000
9,1312500,MergeSort,Serial,5000
10,737000,MergeSort,Serial,5000
