Iteracao,Tempo(ns),Nome,Paradigma,Volume
1,67228800,InsertionSort,Paralelo,50000
2,52547100,InsertionSort,Paralelo,50000
3,44281400,InsertionSort,Paralelo,50000
4,56059400,InsertionSort,Paralelo,50000
5,43708100,InsertionSort,Paralelo,50000
6,38114100,InsertionSort,Paralelo,50000
7,46427300,InsertionSort,Paralelo,50000
8,65011600,InsertionSort,Paralelo,50000
9,138796400,InsertionSort,Paralelo,50000
10,46141600,InsertionSort,Paralelo,50000
