Iteracao,Tempo(ns),Nome,Paradigma,Volume
1,58997900,CountingSort,Serial,1000000
2,68770000,CountingSort,Serial,1000000
3,55383400,CountingSort,Serial,1000000
4,46743200,CountingSort,Serial,1000000
5,50724700,CountingSort,Serial,1000000
6,47939400,CountingSort,Serial,1000000
7,84198900,CountingSort,Serial,1000000
8,66414900,CountingSort,Serial,1000000
9,52785000,CountingSort,Serial,1000000
10,68538400,CountingSort,Serial,1000000
