Iteracao,Tempo(ns),Nome,Paradigma,Volume
1,1433745400,InsertionSort,Serial,100000
2,1770903400,InsertionSort,Serial,100000
3,5816839600,InsertionSort,Serial,100000
4,4636481000,InsertionSort,Serial,100000
5,3334970800,InsertionSort,Serial,100000
6,2936726800,InsertionSort,Serial,100000
7,2533678200,InsertionSort,Serial,100000
8,3719848700,InsertionSort,Serial,100000
9,2561803300,InsertionSort,Serial,100000
10,2954071900,InsertionSort,Serial,100000
