Iteracao,Tempo(ns),Nome,Paradigma,Volume
1,67065600,MergeSort,Paralelo,100000
2,20296700,MergeSort,Paralelo,100000
3,14074700,MergeSort,Paralelo,100000
4,16609000,MergeSort,Paralelo,100000
5,13279800,MergeSort,Paralelo,100000
6,16256700,MergeSort,Paralelo,100000
7,25407100,MergeSort,Paralelo,100000
8,14635100,MergeSort,Paralelo,100000
9,21095000,MergeSort,Paralelo,100000
10,22491200,MergeSort,Paralelo,100000
