Iteracao,Tempo(ns),Nome,Paradigma,Volume
1,12523900,QuickSort,Paralelo,100000
2,14362300,QuickSort,Paralelo,100000
3,13342500,QuickSort,Paralelo,100000
4,16413200,QuickSort,Paralelo,100000
5,20001900,QuickSort,Paralelo,100000
6,16952700,QuickSort,Paralelo,100000
7,16591100,QuickSort,Paralelo,100000
8,11793300,QuickSort,Paralelo,100000
9,9688900,QuickSort,Paralelo,100000
10,11727200,QuickSort,Paralelo,100000
