Iteracao,Tempo(ns),Nome,Paradigma,Volume
1,17622000,MergeSort,Serial,50000
2,16927800,MergeSort,Serial,50000
3,16267600,MergeSort,Serial,50000
4,15012500,MergeSort,Serial,50000
5,8529400,MergeSort,Serial,50000
6,7966400,MergeSort,Serial,50000
7,8948900,MergeSort,Serial,50000
8,8043400,MergeSort,Serial,50000
9,9306700,MergeSort,Serial,50000
10,18651200,MergeSort,Serial,50000
